Где у проводника в состоянии равновесия максимальна поверхностная плотность электричества?|в местах наибольшей выпуклости поверхности проводника.
Что такое собственная энергия заряда?|это энергия взаимного отталкивания бесконечно малых частей, на которые его можно мысленно разбить,Эта энергия учитывалась по выводу формулы W=1/2*sum(заряд(i) *потенциал(i)).
Что называют точкой Кюри для ферромагнетиков?|это температура,при переходе через которую вещество ферромагнетика претерпевает фазовый переход.Вещество является ферромагнетиком только ниже точки Кюри. Ж=С/(T-Tk).
Сформулируйте теорему Ирншоу.|Всякая равновесная конфигурация покоящихся точечных электрических зарядов неустойчива, если на них, кроме кулоновских сил притяжения и отталкивания, никакие другие силы не действуют.
Какую форму имеют эквипотенциальные поверхности в проводнике?|похожи на его поверхность.
Какой принципиальный способ измерения векторов напряженности и смещения (индукции) электрического поля в диэлектрике?|измерение сводится к измерению напряженности поля
Какой вывод по поводу образования ионов в электролитах можно сделать из справедливости закона Джоуля-Ленца в этих электролитах?|Для электролитов выполняется закон Джоуля-Ленца, согласно которому вся энергия тока тратится на джоулеву теплоту
Где у проводника в состоянии равновесия максимальна поверхностная плотность электричества?|на наиболее удаленных выступающих частях проводника, обладающих максимальной кривизной
Что такое точечный электрический диполь?|это совокупность равных по величине, но противоположных по знаку двух точечных зарядов, сдвинутых друг от друга на некоторое расстояние
Перечислите основные свойства заряда.|1. не является знакоопределенной величиной 2. аддитивен 3. инвариантен 4. кратен элементарному 5. суммарный заряд системы сохраняется
Сформулируйте закон сохранения заряда.|полный заряд системы не может измениться, если через ее границу не проходят электрически заряженные частицы
Какую форму имеют эквипотенциальные поверхности в проводнике?|геоид
Что происходит с векторами напряженности и электрического смещения на границе (и ее окрестности) раздела диэлектрика?|при переходе через незаряженную границу двух диэлектриков нормальная составляющая вектора D  остается непрерывной. На любой границе остаются непрерывными тангенциальные составляющие вектора E
Как можно охарактеризовать силовые линии напряженности с точки зрения потенциала (не прибегая к понятию эквипотенциальной поверхности)?|электрические силовые линии являются линиями, вдоль которых потенциал изменяется наиболее быстро. Они нормальны к эквипотенциальным поверхностям
Как связаны закон Кулона и масса покоя фотона?|ненулевая масса фотона привела бы к нарушению закона обратных квадратов Кулона. Если бы у фотона была масса, то скорость электромагнитных волн зависела бы от длины волны
Какой физический смысл дивергенции поля?|дивергенция векторного поля является показателем того, в какой степени данная точка пространства является источником или стоком этого поля
Сформулируйте теорему Ирншоу.|всякая равновесная фигурация покоящихся точечных электрических зарядов неустойчива, если на них, кроме Кулоновских сил притяжения и отталкивания, другие силы не действуют
Как влияет внешнее магнитное поле на домены в ферромагнетиках?|при включении внешнего магнитного поля, границы доменов смещаются так, что увеличивается объем тех доменов, которые намагничены вдоль внешнего поля за счет уменьшения объема тех доменов, которые намагничены против внешнего поля
Что называют точкой Кюри для ферромагнетиков?|это температура, при переходе через которую вещество ферромагнетика претерпевает фазовый переход
Какое поле создает сферически симметрично заряженный шар во внешнем пространстве?|такое же поле, как если бы заряд был сосредоточен в его центре
Что такое собственная энергия заряда?|это энергия взаимного отталкивания бесконечно малых частей, на которые его можно мысленно разбить
Опишите основной принцип работы метода изображений.|расчет поля источников в безграничной среде, которые помещаются вне области отыскания поля исходной задачи
Что такое собственная энергия заряда?|энергия отталкивания бесконечно малых частей заряда, на которые он разбивается
Что такое точечный электрический диполь?|равные по величине, но разные по знаку точечные заряды, сдвинутые относительно друг друга
Как объяснить то, что магнитные силы не удовлетворяют принципу равенства действия и противодействия?|в формулировке третьего закона Ньютона обе силы берутся в один момент времени, а понятие времени в релятивистской физике относительно
Что происходит с векторами напряженности и электрического смещения на границе (и ее окрестности) раздела диэлектрика?|нормальная составляющая вектора D остается непрерывной. Также, на любой границе остаются непрерывными тангенциальные составляющие вектора E
Сформулируйте закон сохранения заряда.|алгебраическая сумма зарядов электрически замкнутой системы остается неизменной
Как влияет внешнее магнитное поле на домены в ферромагнетиках?|домены смещаются так, что у доменов, намагниченных вдоль внешнего поля объем увеличивается за счет доменов, намагниченных против внешнего поля
Опишите основной принцип работы метода изображений.|необходимо рассчитать поле источников в безграничной среде, которые перемещаются вне исходного поля
Что называют точкой Кюри для ферромагнетиков?|температура, перейдя через которую ферромагнетик совершает фазовый переход
Есть две внешне совпадающие формулы для энергии электростатического поля (обе корректные): энергия равна полусумме произведения i-того заряда на i-тый потенциал. В одной формуле берется заряд проводника и его потенциал, во второй формуле берется точечный заряд и потенциал, создаваемый всеми остальными зарядами в точке нахождения этого заряда. В чем отличие этих формул?|применение теоремы единственности
Какой вывод по поводу образования ионов в электролитах можно сделать из справедливости закона Джоуля-Ленца в этих электролитах?|вся энергия тока тратится на джоулеву теплоту
Какую форму имеют эквипотенциальные поверхности в проводнике?|геоид
Сформулируйте теорему Ирншоу.|всякая равновесная конфигурация точечных зарядов неустойчива, если на них кроме кулоновских сил , никакие силы больше не действуют
Какой принципиальный способ измерения векторов напряженности и смещения (индукции) электрического поля в диэлектрике?|создать полость и ввести в нее пробный заряд
Перечислите основные свойства заряда.|инвариантность, знаконеопределенность, аддитивность, кратность элементарному, сохранение заряда
Какое поле создает сферически симметрично заряженный шар во внешнем пространстве?|такое же поле, как если бы заряд располагался в центре
Как можно охарактеризовать силовые линии напряженности с точки зрения потенциала (не прибегая к понятию эквипотенциальной поверхности)?|вдоль этих линий потенциал изменяется наиболее быстро
Как связаны закон Кулона и масса покоя фотона?|если бы масса была ненулевой, то закон Кулона не выполнялся бы.
Какой физический смысл дивергенции поля?|дает возможность точно указать, в каких точках пространства расположились источники вектора по дивергенции
Где у проводника в состоянии равновесия максимальна поверхностная плотность электричества?|на наиболее удаленных частях проводника, таких как острие
Как связаны закон Кулона и масса покоя фотона?|они связаны законом обратных квадратов Кулона
Что называют точкой Кюри для ферромагнетиков?|температура, при которой ферромагнетик совершает фазовый переход
Что такое собственная энергия заряда?|энергия отталкивания бесконечно малых частей заряда
Какой принципиальный способ измерения векторов напряженности и смещения (индукции) электрического поля в диэлектрике?|образование полости в диэлектрике и введение в эту полость пробного заряда
Как объяснить то, что магнитные силы не удовлетворяют принципу равенства действия и противодействия?|силы в третьем законе Ньютона прикладываются одновременно, однако в релятивистской  физике понятие времени относительно
Перечислите основные свойства заряда.|1.аддитивность 2. инвариантность 3. заряд бывает двух знаков 4.кратность 5. заряд сохраняется
Что такое точечный электрический диполь?|система двух равных по величине и разных по знаку зарядов
Как влияет внешнее магнитное поле на домены в ферромагнетиках?|происходит смещение границ доменов, в результате чего объем доменов, намагниченных вдоль внешнего поля увеличивается за счет объема доменов, намагниченных против внешнего поля
Какую форму имеют эквипотенциальные поверхности в проводнике?|геоид
Какой физический смысл дивергенции поля?|дивергенция показывает, в какой степени конкретная точка пространства является источником или стоком поля
Где у проводника в состоянии равновесия максимальна поверхностная плотность электричества?|В областях, наиболее удаленных. Например в остриях
Опишите основной принцип работы метода изображений.|необходимо найти источники в безграничной среде, которые помещаются в области исходного поля
Сформулируйте теорему Ирншоу.|любая равновесная система покоящихся точечных зарядов неустойчива, если на них не действуют никакие силы, кроме кулоновских
Какой вывод по поводу образования ионов в электролитах можно сделать из справедливости закона Джоуля-Ленца в этих электролитах?|вся энергия, создаваемая током, преобразуется в джоулеву теплоту
Какое поле создает сферически симметрично заряженный шар во внешнем пространстве?|такое же поле, как если бы заряд был помещен в центре шара
Сформулируйте закон сохранения заряда.|полный заряд системы не меняется, если через ее границу не проходят заряженные частицы
Есть две внешне совпадающие формулы для энергии электростатического поля (обе корректные): энергия равна полусумме произведения i-того заряда на i-тый потенциал. В одной формуле берется заряд проводника и его потенциал, во второй формуле берется точечный заряд и потенциал, создаваемый всеми остальными зарядами в точке нахождения этого заряда. В чем отличие этих формул?|отличие состоит в применимости теоремы о единственности
Как можно охарактеризовать силовые линии напряженности с точки зрения потенциала (не прибегая к понятию эквипотенциальной поверхности)?|потенциал изменяется наиболее быстро вдоль электрических силовых линий
Что происходит с векторами напряженности и электрического смещения на границе (и ее окрестности) раздела диэлектрика?|на любой границе остаются неизменными тангенциальные составляющие вектра E. Нормальная составляющая вектора D остается непрерывной
Какой принципиальный способ измерения векторов напряженности и смещения (индукции) электрического поля в диэлектрике?|Помещение пробного заряда в некоторую область диэлектрика, которую мы будем считать пустой, так как вектор напряженности будет зависеть от взятой области, то эту область надо брать так, чтобы она минимально искажала результат
Что происходит с векторами напряженности и электрического смещения на границе (и ее окрестности) раздела диэлектрика?|На границе раздела диэлектрика у векторов смещения совпадают нормальные составляющие, а у векторов напряженности совпадают тангенцальные состовляющие
Как объяснить то, что магнитные силы не удовлетворяют принципу равенства действия и противодействия?|Все силы должны браться в один и тот же момент времени, но в релятивистской физике понятие времени относительно
Перечислите основные свойства заряда.|1)Масса и численное значения заряда постоянны 2)Дискретность 3)Закон сохранения заряда 4)Существование двух противоположных по знаку зарядов
Сформулируйте закон сохранения заряда.|В изолированной системе алгебраическая сумма зарядов сохраняется, то есть при появлении в такой сисееме заряда одного знака обязательно появится заряд другого
Какой вывод по поводу образования ионов в электролитах можно сделать из справедливости закона Джоуля-Ленца в этих электролитах?|Вся энергия тока тратится на изменение температуры
Что такое точечный электрический диполь?|Электрически диполь это два заряда равных по величине, но разных по знаку находящихся на расстоянии меньшем, чем расстояние до диполя от точки наблюдения
Какое поле создает сферически симметрично заряженный шар во внешнем пространстве?|он создает такое поле, какое бы создавал идентичный шар, но если бы весь заряд был сосредоточен в центре
Опишите основной принцип работы метода изображений.|Если в электрическом поле заменить какую-либо эквипотенециальную поверхность проводником той же формы и создать на нем соответствующий потенциал, то электрическое поле не изменится. Верно и обратное утверждение
Сформулируйте теорему Ирншоу.|Согласно этой теореме, система покоящихся точечных зарядов расположенных на любом расстоянии друг от друга, не может быть в состоянии устойчивого равновесия
Как связаны закон Кулона и масса покоя фотона?|с точки зрения квантовой электродинамики электромагнитное взаимодействие заряженных частиц осуществляется путем обмена виртуальными фотонами между частицам. Принцип неопределенности для времени и энергии допускает существование виртуальных фотонов на время между моментами их испускания и поглощения.
Как влияет внешнее магнитное поле на домены в ферромагнетиках?|Оно упорядочивает домены, то есть ферромагнетик намагничивается
Что такое собственная энергия заряда?|Это энергия отталкивания бесконечно маленьких частей заряда
Что называют точкой Кюри для ферромагнетиков?|Точка Кюри это такая температура при которой ферромагнетик теряет свои ферромагнетические свойства
Какую форму имеют эквипотенциальные поверхности в проводнике?|Любая прямая параллельная оси проводника эквипотенциальна
Какой физический смысл дивергенции поля?|дивергенция поля Е представляет плотность распределения потока векторного поля Е
Где у проводника в состоянии равновесия максимальна поверхностная плотность электричества?|на выступающих частях проводника
Какую форму имеют эквипотенциальные поверхности в проводнике?|геоид
Есть две внешне совпадающие формулы для энергии электростатического поля (обе корректные): энергия равна полусумме произведения i-того заряда на i-тый потенциал. В одной формуле берется заряд проводника и его потенциал, во второй формуле берется точечный заряд и потенциал, создаваемый всеми остальными зарядами в точке нахождения этого заряда. В чем отличие этих формул?|эти формулы отличаются применимостью теоремы единственности
Какой вывод по поводу образования ионов в электролитах можно сделать из справедливости закона Джоуля-Ленца в этих электролитах?|энергия, создаваемая током превращается в джоулеву теплоту
Как можно охарактеризовать силовые линии напряженности с точки зрения потенциала (не прибегая к понятию эквипотенциальной поверхности)?|силовые линии нормальны к эквипотенциальным поверхностям и потенциал изменяется наиболее быстро вдоль этих силовых линий
Опишите основной принцип работы метода изображений.|поиск поля заданных источников в присутствии граничных поверхностей сводится к расчету тех же и некоторых добавочных источников в безграничной среде
Что такое точечный электрический диполь?|система двух равных по величине, но обратных по знаку зарядов
Какой принципиальный способ измерения векторов напряженности и смещения (индукции) электрического поля в диэлектрике?|в диэлектрике необходимо создать полость, в которую будет введен пробный заряд
Какой физический смысл дивергенции поля?|дивергенция показывает в какой степени данная точка пространства является стоком или источником поля
Что происходит с векторами напряженности и электрического смещения на границе (и ее окрестности) раздела диэлектрика?|вектора E и D остаются непрерывными
Какое поле создает сферически симметрично заряженный шар во внешнем пространстве?|поле такое же, как если бы заряд был помещен в центре шара
Как объяснить то, что магнитные силы не удовлетворяют принципу равенства действия и противодействия?|в третьем законе Ньютона силы возникают одновременно, но в релятивистской физике понятие времени относительно
Сформулируйте теорему Ирншоу.|любая равновесная конфигурация точечных зарядов неустойчива, если на них кроме кулоновских сил ничего не действует
Перечислите основные свойства заряда.|1. может быть разных знаков 2. аддитивен 3. кратен элементарному заряду 4. заряд сохраняется 5.инвариантен
Как связаны закон Кулона и масса покоя фотона?|связаны законом обратных квадратов Кулона и если бы масса была ненулевой, то это закон нарушался бы
Как влияет внешнее магнитное поле на домены в ферромагнетиках?|происходит изменение объемов доменов, в результате их смещения
Где у проводника в состоянии равновесия максимальна поверхностная плотность электричества?|на остриях
Что такое собственная энергия заряда?|это энергия взаимного отталкивания частиц
Сформулируйте закон сохранения заряда.|заряд системы не меняет, если через ее границу не переходят заряженные частицы
Что называют точкой Кюри для ферромагнетиков?|это температура, при которой вещество совершает фазовый переход
Как объяснить то, что магнитные силы не удовлетворяют принципу равенства действия и противодействия?|Так как в релятивистской физике понятие время относительно,а для принципа действия и противодействия силы должны быть приложены в один момент времени
Какое поле создает сферически симметрично заряженный шар во внешнем пространстве?|Если сосредоточить весь заряд в центре данного шара, то он будет создавать такое же внешнее поле
Сформулируйте теорему Ирншоу.|Всякая равновесная система точечных зарядов не устойчива если на нее действуют только кулоновские силы
Как связаны закон Кулона и масса покоя фотона?|Взаимодействие между двумя зарядами можно считать как испускание фотона от одного заряда к другому
Опишите основной принцип работы метода изображений.|метод состоит в подборе фиктивных зарядов вне рассматриваемой области, таких, что их совместное с реальными зарядами поле обеспечивает заданные граничные условиями
Как можно охарактеризовать силовые линии напряженности с точки зрения потенциала (не прибегая к понятию эквипотенциальной поверхности)?|в однородном поле напряженностью Е равна отношению разности потенциалов между двумя точками к расстоянию между двумя точками вдоль направления силовых линий
Какой вывод по поводу образования ионов в электролитах можно сделать из справедливости закона Джоуля-Ленца в этих электролитах?|вся теплота джоуля есть энергия затрачиваемая током
Какой принципиальный способ измерения векторов напряженности и смещения (индукции) электрического поля в диэлектрике?|способ помещения пробного заряда в некоторую область в проводнике(вакуум), но тогда искажается результат, поэтому нужно выбирать такую область, которая бы наиболее подходила к результату
Что называют точкой Кюри для ферромагнетиков?|это температура при которой происходит размагничивание ферромагнетика
Что такое точечный электрический диполь?|Это совокупность двух разноименных зарядов одинаковой величины
Где у проводника в состоянии равновесия максимальна поверхностная плотность электричества?|На всех "выпуклостях" проводника
Сформулируйте закон сохранения заряда.|алгебраическая сумма зарядов постоянна
Перечислите основные свойства заряда.|Постоянство массы и значения заряда, существование разноименных зарядов, закон сохранения зарядов
Что такое собственная энергия заряда?|Это энергия по перемещению бесконечно малых частей электрона на бесконечно далекие расстояния
Какой физический смысл дивергенции поля?|дивергенция поля позволяет сохранить смысл независимо от физической или геометрической природы Е
Как влияет внешнее магнитное поле на домены в ферромагнетиках?|Оно упорядочивает домены в результате чего происходит намагничивание
Какую форму имеют эквипотенциальные поверхности в проводнике?|Форму проводника
Что происходит с векторами напряженности и электрического смещения на границе (и ее окрестности) раздела диэлектрика?|только некоторые составляющие этих векторов сохраняются, для напряженности касательная составляющая(тангенцальная) и для электрического смещения нормальная
